date,title,source,author,link
2018/12/11,"Republicans, Don't Break Our Democracy",CNN,Tom Perez,https://www.realclearpolitics.com/2018/12/11/republicans_don039t_break_our_democracy_460987.html
2018/12/11,Build the Wall--Do What We Said We'd Do,FOX News,Reps. Jordan,https://www.realclearpolitics.com/2018/12/11/build_the_wall--do_what_we_said_we039d_do_461013.html
2018/12/11,Why Democrats Need Nancy Pelosi as Speaker,USA Today,Jill Lawrence,https://www.realclearpolitics.com/2018/12/11/why_democrats_need_nancy_pelosi_as_speaker_460899.html
2018/12/11,Will the Leakers in the Flynn Case Escape Justice?,American Greatness,Julie Kelly,https://www.realclearpolitics.com/2018/12/11/will_the_leakers_in_the_flynn_case_escape_justice_460983.html
2018/12/11,What Has the President Been 'Smocking'?,Washington Post,Eugene Robinson,https://www.realclearpolitics.com/2018/12/11/what_has_the_president_been_039smocking039_460994.html
2018/12/11,"From Russia, Russia, Russia to...Campaign Finance?",Washington Examiner,Byron York,https://www.realclearpolitics.com/2018/12/11/from_russia_russia_russia_tocampaign_finance_460989.html
2018/12/11,Trump's 'Obama Did It Too' Defense Does Not Hold Water,Slate,Richard Hasen,https://www.realclearpolitics.com/2018/12/11/trump039s_039obama_did_it_too039_defense_does_not_hold_water_460996.html
2018/12/11,Why Trump Might Be Right About Interest Rates,New York Times,Peter Eavis,https://www.realclearpolitics.com/2018/12/11/why_trump_might_be_right_about_interest_rates_460762.html
2018/12/11,How Theresa May Blew It,New York Post,Rich Lowry,https://www.realclearpolitics.com/2018/12/11/how_theresa_may_blew_it_461016.html
2018/12/11,Protests Show Leading France Is an Impossible Job,Financial Times,Gideon Rachman,https://www.realclearpolitics.com/2018/12/11/protests_show_leading_france_is_an_impossible_job_461017.html
2018/12/11,What the New Congress Can Learn From Aristotle,RealClearPolitics,Peter Berkowitz,https://www.realclearpolitics.com/2018/12/11/what_the_new_congress_can_learn_from_aristotle_460991.html
2018/12/11,Trump's Tweets Show How Rattled He Is by Mueller,The Guardian,Jill Abramson,https://www.realclearpolitics.com/2018/12/11/trump039s_tweets_show_how_rattled_he_is_by_mueller_460999.html
2018/12/11,Mueller's Got Nothing,National Review,Conrad Black,https://www.realclearpolitics.com/2018/12/11/mueller039s_got_nothing_460965.html
2018/12/11,4 Bullyings and a Free-Speech Funeral,RealClearInvestigations,Richard Bernstein,https://www.realclearpolitics.com/2018/12/11/4_bullyings_and_a_free-speech_funeral_460984.html
2018/12/11,America's New Religions,New York Magazine,Andrew Sullivan,https://www.realclearpolitics.com/2018/12/11/america039s_new_religions_460973.html
2018/12/11,Trump's Presidency Without Humor,New York Times,Bret Stephens,https://www.realclearpolitics.com/2018/12/11/trump039s_presidency_without_humor_461006.html
2018/12/11,"Actually, Bret Stephens, Trump Is Funny",Washington Examiner,Eddie Scarry,https://www.realclearpolitics.com/2018/12/11/actually_bret_stephens_trump_is_funny_461005.html
2018/12/11,"Trump, Schumer, Pelosi Get Into Shouting Match Over Border",DB,Andrew Desiderio,https://www.realclearpolitics.com/2018/12/11/trump_schumer_pelosi_get_into_shouting_match_over_border_461055.html
2018/12/11,What Trump Needs From His Next Chief of Staff,The Spectator,Christopher Buskirk,https://www.realclearpolitics.com/2018/12/11/what_trump_needs_from_his_next_chief_of_staff_460979.html
2018/12/11,Is America Great Again Yet?,Washington Post,Richard Cohen,https://www.realclearpolitics.com/2018/12/11/is_america_great_again_yet_460992.html
2018/12/11,Dirty Cop James Comey 'Can't Recall' Squat,Boston Herald,Adriana Cohen,https://www.realclearpolitics.com/2018/12/11/dirty_cop_james_comey_039can039t_recall039_squat_460945.html
2018/12/11,What We Know About Trump & Russia Is Damning & Detailed,Axios,Jim VandeHei,https://www.realclearpolitics.com/2018/12/11/what_we_know_about_trump_amp_russia_is_damning_amp_detailed_461044.html
2018/12/11,Axios's 'Damning' Info Is Uninformed and Idiotic,The Federalist,Mollie Hemingway,https://www.realclearpolitics.com/2018/12/11/axios039s_039damning039_info_is_uninformed_and_idiotic_461045.html
2018/12/11,Paul Ryan's Long Con,Vox,Ezra Klein,https://www.realclearpolitics.com/2018/12/11/paul_ryan039s_long_con_460960.html
2018/12/11,Climate Change Hysteria and the New French Rebellion,New Geography,Joel Kotkin,https://www.realclearpolitics.com/2018/12/11/climate_change_hysteria_and_the_new_french_rebellion_461048.html
2018/12/11,Brexit Retreat Opens Door for Boris Johnson,New York Sun,Stephen MacLean,https://www.realclearpolitics.com/2018/12/11/brexit_retreat_opens_door_for_boris_johnson_461004.html
2018/12/11,Solzhenitsyn: The Writer Who Destroyed an Empire,New York Times,Michael Scammell,https://www.realclearpolitics.com/2018/12/11/solzhenitsyn_the_writer_who_destroyed_an_empire_461052.html
2018/12/11,Venezuela's Socialist Experiment Is Deadlier Than Ever,BBW,David Papadopoulos,https://www.realclearpolitics.com/2018/12/11/venezuela039s_socialist_experiment_is_deadlier_than_ever_461008.html
